path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label
data\cv\images\GAZP\1m\win64_step16\flat\img_0000000.png,GAZP,1m,2025-06-02 03:59:00+00:00,2025-06-02 05:08:00+00:00,64,214.05,215.75,raw,1.0,3082.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000001.png,GAZP,1m,2025-06-02 04:15:00+00:00,2025-06-02 05:27:00+00:00,64,214.5,215.75,raw,1.0,3082.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000002.png,GAZP,1m,2025-06-02 04:32:00+00:00,2025-06-02 05:47:00+00:00,64,214.75,215.75,raw,1.0,2006.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000003.png,GAZP,1m,2025-06-02 04:50:00+00:00,2025-06-02 06:03:00+00:00,64,215.05,216.45,raw,1.0,2006.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000004.png,GAZP,1m,2025-06-02 05:09:00+00:00,2025-06-02 06:19:00+00:00,64,215.05,216.85,raw,1.0,2006.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000005.png,GAZP,1m,2025-06-02 05:29:00+00:00,2025-06-02 06:35:00+00:00,64,215.1,216.85,raw,1.0,1518.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000006.png,GAZP,1m,2025-06-02 05:48:00+00:00,2025-06-02 06:51:00+00:00,64,215.25,216.85,raw,1.0,1518.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000007.png,GAZP,1m,2025-06-02 06:04:00+00:00,2025-06-02 07:07:00+00:00,64,216.0,216.85,raw,1.0,760.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000008.png,GAZP,1m,2025-06-02 06:20:00+00:00,2025-06-02 07:23:00+00:00,64,215.95,216.8,raw,1.0,1538.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000009.png,GAZP,1m,2025-06-02 06:36:00+00:00,2025-06-02 07:39:00+00:00,64,215.95,217.8,raw,1.0,6033.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000010.png,GAZP,1m,2025-06-02 06:52:00+00:00,2025-06-02 07:55:00+00:00,64,215.95,217.8,raw,1.0,6033.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000011.png,GAZP,1m,2025-06-02 07:08:00+00:00,2025-06-02 08:11:00+00:00,64,215.95,217.8,raw,1.0,6033.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000012.png,GAZP,1m,2025-06-02 07:24:00+00:00,2025-06-02 08:27:00+00:00,64,216.25,217.8,raw,3.0,6033.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000013.png,GAZP,1m,2025-06-02 07:40:00+00:00,2025-06-02 08:43:00+00:00,64,216.35,217.7,raw,3.0,5503.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000014.png,GAZP,1m,2025-06-02 07:56:00+00:00,2025-06-02 08:59:00+00:00,64,216.15,217.5,raw,1.0,5503.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000015.png,GAZP,1m,2025-06-02 08:12:00+00:00,2025-06-02 09:15:00+00:00,64,216.15,217.25,raw,1.0,676.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000016.png,GAZP,1m,2025-06-02 08:28:00+00:00,2025-06-02 09:31:00+00:00,64,216.15,217.1,raw,1.0,927.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000017.png,GAZP,1m,2025-06-02 08:44:00+00:00,2025-06-02 09:47:00+00:00,64,216.15,217.05,raw,1.0,927.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000018.png,GAZP,1m,2025-06-02 09:00:00+00:00,2025-06-02 10:03:00+00:00,64,216.3,217.7,raw,2.0,6996.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000019.png,GAZP,1m,2025-06-02 09:16:00+00:00,2025-06-02 10:19:00+00:00,64,216.25,217.7,raw,1.0,6996.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000020.png,GAZP,1m,2025-06-02 09:32:00+00:00,2025-06-02 10:36:00+00:00,64,215.3,217.7,raw,1.0,6996.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000021.png,GAZP,1m,2025-06-02 09:48:00+00:00,2025-06-02 10:52:00+00:00,64,215.3,217.7,raw,1.0,6996.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000022.png,GAZP,1m,2025-06-02 10:04:00+00:00,2025-06-02 11:11:00+00:00,64,215.3,217.1,raw,1.0,2074.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000023.png,GAZP,1m,2025-06-02 10:20:00+00:00,2025-06-02 11:27:00+00:00,64,214.4,216.55,raw,2.0,6021.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000024.png,GAZP,1m,2025-06-02 10:37:00+00:00,2025-06-02 11:43:00+00:00,64,214.4,216.35,raw,3.0,6021.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000025.png,GAZP,1m,2025-06-02 10:53:00+00:00,2025-06-02 11:59:00+00:00,64,214.4,216.35,raw,2.0,6021.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000026.png,GAZP,1m,2025-06-02 11:12:00+00:00,2025-06-02 12:15:00+00:00,64,214.4,216.2,raw,2.0,6021.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000027.png,GAZP,1m,2025-06-02 11:28:00+00:00,2025-06-02 12:32:00+00:00,64,214.5,216.3,raw,2.0,5129.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000028.png,GAZP,1m,2025-06-02 11:44:00+00:00,2025-06-02 12:48:00+00:00,64,214.7,216.3,raw,2.0,5129.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000029.png,GAZP,1m,2025-06-02 12:00:00+00:00,2025-06-02 13:05:00+00:00,64,215.05,216.3,raw,2.0,1486.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000030.png,GAZP,1m,2025-06-02 12:16:00+00:00,2025-06-02 13:21:00+00:00,64,215.05,216.3,raw,2.0,5505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000031.png,GAZP,1m,2025-06-02 12:33:00+00:00,2025-06-02 13:37:00+00:00,64,215.05,216.3,raw,3.0,5505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000032.png,GAZP,1m,2025-06-02 12:49:00+00:00,2025-06-02 13:53:00+00:00,64,215.05,216.75,raw,3.0,5505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000033.png,GAZP,1m,2025-06-02 13:06:00+00:00,2025-06-02 14:09:00+00:00,64,215.05,216.75,raw,1.0,5505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000034.png,GAZP,1m,2025-06-02 13:22:00+00:00,2025-06-02 14:26:00+00:00,64,215.3,216.75,raw,1.0,583.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000035.png,GAZP,1m,2025-06-02 13:38:00+00:00,2025-06-02 14:42:00+00:00,64,215.3,217.25,raw,1.0,1581.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000036.png,GAZP,1m,2025-06-02 13:54:00+00:00,2025-06-02 14:58:00+00:00,64,215.3,217.5,raw,1.0,2324.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000037.png,GAZP,1m,2025-06-02 14:10:00+00:00,2025-06-02 15:15:00+00:00,64,215.9,217.7,raw,4.0,2324.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000038.png,GAZP,1m,2025-06-02 14:27:00+00:00,2025-06-02 15:31:00+00:00,64,216.15,219.0,raw,34.0,14276.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000039.png,GAZP,1m,2025-06-02 14:43:00+00:00,2025-06-02 16:08:00+00:00,64,216.75,219.0,raw,4.0,14276.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000040.png,GAZP,1m,2025-06-02 14:59:00+00:00,2025-06-02 16:24:00+00:00,64,216.8,219.4,raw,4.0,14276.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000041.png,GAZP,1m,2025-06-02 15:16:00+00:00,2025-06-02 16:40:00+00:00,64,217.1,219.4,raw,3.0,14276.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000042.png,GAZP,1m,2025-06-02 15:32:00+00:00,2025-06-02 16:56:00+00:00,64,217.1,219.4,raw,3.0,8118.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000043.png,GAZP,1m,2025-06-02 16:09:00+00:00,2025-06-02 17:12:00+00:00,64,217.55,219.4,raw,3.0,8118.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000044.png,GAZP,1m,2025-06-02 16:25:00+00:00,2025-06-02 17:28:00+00:00,64,217.4,218.8,raw,1.0,4121.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000045.png,GAZP,1m,2025-06-02 16:41:00+00:00,2025-06-02 17:44:00+00:00,64,217.4,218.3,raw,1.0,1175.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000046.png,GAZP,1m,2025-06-02 16:57:00+00:00,2025-06-02 18:00:00+00:00,64,217.4,218.3,raw,1.0,701.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000047.png,GAZP,1m,2025-06-02 17:13:00+00:00,2025-06-02 18:17:00+00:00,64,217.4,218.05,raw,1.0,701.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000048.png,GAZP,1m,2025-06-02 17:29:00+00:00,2025-06-02 18:33:00+00:00,64,217.4,218.5,raw,1.0,505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000049.png,GAZP,1m,2025-06-02 17:45:00+00:00,2025-06-02 18:50:00+00:00,64,217.65,218.5,raw,1.0,505.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000050.png,GAZP,1m,2025-06-02 18:01:00+00:00,2025-06-02 19:06:00+00:00,64,217.65,218.5,raw,1.0,396.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000051.png,GAZP,1m,2025-06-02 18:18:00+00:00,2025-06-02 19:24:00+00:00,64,217.75,218.5,raw,1.0,396.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000052.png,GAZP,1m,2025-06-02 18:34:00+00:00,2025-06-02 19:40:00+00:00,64,217.65,218.4,raw,1.0,270.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000053.png,GAZP,1m,2025-06-02 18:51:00+00:00,2025-06-02 19:57:00+00:00,64,217.65,218.6,raw,1.0,3406.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000054.png,GAZP,1m,2025-06-02 19:07:00+00:00,2025-06-02 20:13:00+00:00,64,217.65,218.6,raw,1.0,3406.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000055.png,GAZP,1m,2025-06-02 19:25:00+00:00,2025-06-02 20:30:00+00:00,64,217.65,218.95,raw,1.0,3406.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000056.png,GAZP,1m,2025-06-02 19:41:00+00:00,2025-06-02 20:47:00+00:00,64,217.7,218.95,raw,1.0,3406.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000057.png,GAZP,1m,2025-06-02 19:58:00+00:00,2025-06-03 04:12:00+00:00,64,218.05,220.0,raw,1.0,2044.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000058.png,GAZP,1m,2025-06-02 20:14:00+00:00,2025-06-03 04:28:00+00:00,64,218.25,220.0,raw,1.0,2044.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000059.png,GAZP,1m,2025-06-02 20:32:00+00:00,2025-06-03 04:46:00+00:00,64,218.5,220.0,raw,1.0,2044.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000060.png,GAZP,1m,2025-06-02 20:48:00+00:00,2025-06-03 05:02:00+00:00,64,218.6,220.0,raw,1.0,2044.0,flat
data\cv\images\GAZP\1m\win64_step16\flat\img_0000061.png,GAZP,1m,2025-06-03 04:13:00+00:00,2025-06-03 05:19:00+00:00,64,219.2,220.0,raw,1.0,3566.0,flat
