path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label,ret_fwd,horizon,extra_ch
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000000.png,GAZP,5m,2024-10-17 04:00:00+00:00,2024-10-17 09:30:00+00:00,64,135.62,138.3,zscore,-0.8588364363760556,4.24689151767965,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000001.png,GAZP,5m,2024-10-17 05:20:00+00:00,2024-10-17 10:50:00+00:00,64,134.8,138.3,zscore,-0.9895910751444609,4.00549831221404,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000002.png,GAZP,5m,2024-10-17 06:55:00+00:00,2024-10-17 12:10:00+00:00,64,134.8,137.73,zscore,-0.8588364363760556,3.888827114888681,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000003.png,GAZP,5m,2024-10-17 08:15:00+00:00,2024-10-17 13:30:00+00:00,64,134.8,137.64,zscore,-0.7285676564992902,3.779893902020491,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000004.png,GAZP,5m,2024-10-17 09:35:00+00:00,2024-10-17 14:50:00+00:00,64,134.8,138.29,zscore,-0.8047901789979667,3.3794022104250034,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000005.png,GAZP,5m,2024-10-17 10:55:00+00:00,2024-10-17 16:25:00+00:00,64,135.43,138.29,zscore,-0.8047901789979662,3.7120098018882093,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000006.png,GAZP,5m,2024-10-17 12:15:00+00:00,2024-10-17 17:45:00+00:00,64,136.19,138.29,zscore,-1.1223056609285345,3.7120098018882093,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000007.png,GAZP,5m,2024-10-17 13:35:00+00:00,2024-10-18 05:15:00+00:00,64,135.79,138.29,zscore,-1.1948913713283151,3.7120098018882093,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000008.png,GAZP,5m,2024-10-17 14:55:00+00:00,2024-10-18 06:35:00+00:00,64,135.79,137.94,zscore,-1.1948913713283797,2.8963581011636412,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000009.png,GAZP,5m,2024-10-17 16:30:00+00:00,2024-10-18 08:10:00+00:00,64,135.75,137.3,zscore,-1.2839095323781067,4.242993830026147,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000010.png,GAZP,5m,2024-10-18 04:00:00+00:00,2024-10-18 09:30:00+00:00,64,135.75,137.3,zscore,-1.303660075947527,4.242993830026147,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000011.png,GAZP,5m,2024-10-18 05:20:00+00:00,2024-10-18 10:50:00+00:00,64,135.45,137.3,zscore,-1.3960262467736377,4.001755156099248,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000012.png,GAZP,5m,2024-10-18 06:55:00+00:00,2024-10-18 12:10:00+00:00,64,135.33,137.3,zscore,-1.5075698608101298,2.5781993013154496,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000013.png,GAZP,5m,2024-10-18 08:15:00+00:00,2024-10-18 13:30:00+00:00,64,134.96,137.28,zscore,-1.5075698608101304,3.533810116751446,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000014.png,GAZP,5m,2024-10-18 09:35:00+00:00,2024-10-18 14:50:00+00:00,64,134.8,136.68,zscore,-1.5075698608101298,3.533810116751445,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000015.png,GAZP,5m,2024-10-18 10:55:00+00:00,2024-10-18 16:25:00+00:00,64,134.8,136.0,zscore,-1.6017530506367268,3.533810116751445,0.0,,36,atr_rel
data\cv\images\GAZP\5m\w64_s16\0.0\img_0000016.png,GAZP,5m,2024-10-18 12:15:00+00:00,2024-10-18 17:45:00+00:00,64,134.8,135.93,zscore,-1.3082358920765185,3.0629869345093814,0.0,,36,atr_rel
