path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label
data\cv\images\GMKN\1m\win64_step16\flat\img_0000000.png,GMKN,1m,2025-06-02 03:59:00+00:00,2025-06-02 05:02:00+00:00,64,1056.0,1076.4,raw,8.0,38146.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000001.png,GMKN,1m,2025-06-02 04:15:00+00:00,2025-06-02 05:18:00+00:00,64,1067.2,1076.4,raw,3.0,7596.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000002.png,GMKN,1m,2025-06-02 04:31:00+00:00,2025-06-02 05:34:00+00:00,64,1067.6,1076.4,raw,3.0,7596.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000003.png,GMKN,1m,2025-06-02 04:47:00+00:00,2025-06-02 05:50:00+00:00,64,1067.6,1076.4,raw,2.0,7108.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000004.png,GMKN,1m,2025-06-02 05:03:00+00:00,2025-06-02 06:06:00+00:00,64,1067.6,1081.6,raw,2.0,12299.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000005.png,GMKN,1m,2025-06-02 05:19:00+00:00,2025-06-02 06:22:00+00:00,64,1067.6,1084.4,raw,2.0,12299.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000006.png,GMKN,1m,2025-06-02 05:35:00+00:00,2025-06-02 06:38:00+00:00,64,1070.0,1084.4,raw,2.0,12299.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000007.png,GMKN,1m,2025-06-02 05:51:00+00:00,2025-06-02 06:54:00+00:00,64,1070.6,1085.2,raw,35.0,12299.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000008.png,GMKN,1m,2025-06-02 06:07:00+00:00,2025-06-02 07:10:00+00:00,64,1078.6,1085.4,raw,51.0,13057.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000009.png,GMKN,1m,2025-06-02 06:23:00+00:00,2025-06-02 07:26:00+00:00,64,1079.2,1085.4,raw,51.0,13057.0,flat
data\cv\images\GMKN\1m\win64_step16\flat\img_0000010.png,GMKN,1m,2025-06-02 06:39:00+00:00,2025-06-02 07:42:00+00:00,64,1078.4,1086.4,raw,51.0,18260.0,flat
