path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label
data\cv\images\LKOH\1m\win64_step16\flat\img_0000000.png,LKOH,1m,2025-06-02 03:59:00+00:00,2025-06-02 05:02:00+00:00,64,418.6,426.9,raw,7.0,42852.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000001.png,LKOH,1m,2025-06-02 04:15:00+00:00,2025-06-02 05:18:00+00:00,64,422.0,423.8,raw,7.0,15225.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000002.png,LKOH,1m,2025-06-02 04:31:00+00:00,2025-06-02 05:34:00+00:00,64,419.1,423.8,raw,7.0,69034.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000003.png,LKOH,1m,2025-06-02 04:47:00+00:00,2025-06-02 05:50:00+00:00,64,419.1,423.8,raw,2.0,69034.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000004.png,LKOH,1m,2025-06-02 05:03:00+00:00,2025-06-02 06:06:00+00:00,64,419.1,424.45,raw,2.0,69034.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000005.png,LKOH,1m,2025-06-02 05:19:00+00:00,2025-06-02 06:22:00+00:00,64,419.1,425.65,raw,2.0,69034.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000006.png,LKOH,1m,2025-06-02 05:35:00+00:00,2025-06-02 06:38:00+00:00,64,420.5,425.65,raw,2.0,31351.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000007.png,LKOH,1m,2025-06-02 05:51:00+00:00,2025-06-02 06:54:00+00:00,64,420.85,425.65,raw,21.0,31351.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000008.png,LKOH,1m,2025-06-02 06:07:00+00:00,2025-06-02 07:10:00+00:00,64,422.7,425.65,raw,21.0,31351.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000009.png,LKOH,1m,2025-06-02 06:23:00+00:00,2025-06-02 07:26:00+00:00,64,422.4,424.95,raw,21.0,31351.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000010.png,LKOH,1m,2025-06-02 06:39:00+00:00,2025-06-02 07:42:00+00:00,64,422.4,424.95,raw,21.0,16111.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000011.png,LKOH,1m,2025-06-02 06:55:00+00:00,2025-06-02 07:58:00+00:00,64,422.4,425.5,raw,192.0,28183.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000012.png,LKOH,1m,2025-06-02 07:11:00+00:00,2025-06-02 08:14:00+00:00,64,422.4,425.6,raw,153.0,34378.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000013.png,LKOH,1m,2025-06-02 07:27:00+00:00,2025-06-02 08:30:00+00:00,64,422.7,426.5,raw,153.0,34378.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000014.png,LKOH,1m,2025-06-02 07:43:00+00:00,2025-06-02 08:46:00+00:00,64,424.1,426.75,raw,153.0,34378.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000015.png,LKOH,1m,2025-06-02 07:59:00+00:00,2025-06-02 09:02:00+00:00,64,425.0,431.8,raw,153.0,128655.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000016.png,LKOH,1m,2025-06-02 08:15:00+00:00,2025-06-02 09:18:00+00:00,64,425.0,431.8,raw,416.0,128655.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000017.png,LKOH,1m,2025-06-02 08:31:00+00:00,2025-06-02 09:34:00+00:00,64,425.5,431.8,raw,416.0,128655.0,flat
data\cv\images\LKOH\1m\win64_step16\flat\img_0000018.png,LKOH,1m,2025-06-02 08:47:00+00:00,2025-06-02 09:50:00+00:00,64,426.4,431.8,raw,739.0,128655.0,flat
