path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label
data\cv\images\ROSN\1m\win64_step16\flat\img_0000000.png,ROSN,1m,2025-06-02 03:59:00+00:00,2025-06-02 05:02:00+00:00,64,126.8,129.41,raw,641.0,149786.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000001.png,ROSN,1m,2025-06-02 04:15:00+00:00,2025-06-02 05:18:00+00:00,64,128.01,129.5,raw,641.0,33416.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000002.png,ROSN,1m,2025-06-02 04:31:00+00:00,2025-06-02 05:34:00+00:00,64,128.3,129.5,raw,423.0,33416.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000003.png,ROSN,1m,2025-06-02 04:47:00+00:00,2025-06-02 05:50:00+00:00,64,128.65,129.5,raw,355.0,23918.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000004.png,ROSN,1m,2025-06-02 05:03:00+00:00,2025-06-02 06:06:00+00:00,64,128.65,129.67,raw,355.0,50763.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000005.png,ROSN,1m,2025-06-02 05:19:00+00:00,2025-06-02 06:22:00+00:00,64,128.65,129.93,raw,355.0,50763.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000006.png,ROSN,1m,2025-06-02 05:35:00+00:00,2025-06-02 06:38:00+00:00,64,128.65,129.93,raw,355.0,50763.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000007.png,ROSN,1m,2025-06-02 05:51:00+00:00,2025-06-02 06:54:00+00:00,64,128.86,129.93,raw,1054.0,50763.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000008.png,ROSN,1m,2025-06-02 06:07:00+00:00,2025-06-02 07:10:00+00:00,64,129.3,130.22,raw,1054.0,67074.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000009.png,ROSN,1m,2025-06-02 06:23:00+00:00,2025-06-02 07:26:00+00:00,64,129.3,130.22,raw,1054.0,67074.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000010.png,ROSN,1m,2025-06-02 06:39:00+00:00,2025-06-02 07:42:00+00:00,64,129.24,130.22,raw,1054.0,67074.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000011.png,ROSN,1m,2025-06-02 06:55:00+00:00,2025-06-02 07:58:00+00:00,64,129.24,130.22,raw,446.0,67074.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000012.png,ROSN,1m,2025-06-02 07:11:00+00:00,2025-06-02 08:14:00+00:00,64,129.24,130.1,raw,172.0,45908.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000013.png,ROSN,1m,2025-06-02 07:27:00+00:00,2025-06-02 08:30:00+00:00,64,129.24,130.1,raw,172.0,45046.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000014.png,ROSN,1m,2025-06-02 07:43:00+00:00,2025-06-02 08:46:00+00:00,64,129.03,130.1,raw,172.0,45046.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000015.png,ROSN,1m,2025-06-02 07:59:00+00:00,2025-06-02 09:02:00+00:00,64,129.03,129.96,raw,172.0,36070.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000016.png,ROSN,1m,2025-06-02 08:15:00+00:00,2025-06-02 09:18:00+00:00,64,129.03,129.75,raw,664.0,36070.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000017.png,ROSN,1m,2025-06-02 08:31:00+00:00,2025-06-02 09:34:00+00:00,64,129.03,129.75,raw,375.0,36070.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000018.png,ROSN,1m,2025-06-02 08:47:00+00:00,2025-06-02 09:50:00+00:00,64,128.43,129.66,raw,375.0,114611.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000019.png,ROSN,1m,2025-06-02 09:03:00+00:00,2025-06-02 10:06:00+00:00,64,128.23,129.66,raw,375.0,114611.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000020.png,ROSN,1m,2025-06-02 09:19:00+00:00,2025-06-02 10:22:00+00:00,64,128.03,129.45,raw,375.0,114611.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000021.png,ROSN,1m,2025-06-02 09:35:00+00:00,2025-06-02 10:38:00+00:00,64,128.03,129.4,raw,623.0,114611.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000022.png,ROSN,1m,2025-06-02 09:51:00+00:00,2025-06-02 10:54:00+00:00,64,128.03,128.88,raw,1078.0,60230.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000023.png,ROSN,1m,2025-06-02 10:07:00+00:00,2025-06-02 11:10:00+00:00,64,128.03,128.52,raw,1078.0,57379.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000024.png,ROSN,1m,2025-06-02 10:23:00+00:00,2025-06-02 11:26:00+00:00,64,127.36,128.5,raw,1078.0,91767.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000025.png,ROSN,1m,2025-06-02 10:39:00+00:00,2025-06-02 11:42:00+00:00,64,127.36,128.79,raw,1078.0,91767.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000026.png,ROSN,1m,2025-06-02 10:55:00+00:00,2025-06-02 11:58:00+00:00,64,127.36,128.79,raw,1442.0,91767.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000027.png,ROSN,1m,2025-06-02 11:11:00+00:00,2025-06-02 12:14:00+00:00,64,127.36,128.95,raw,2117.0,91767.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000028.png,ROSN,1m,2025-06-02 11:27:00+00:00,2025-06-02 12:30:00+00:00,64,127.38,128.95,raw,2117.0,73032.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000029.png,ROSN,1m,2025-06-02 11:43:00+00:00,2025-06-02 12:46:00+00:00,64,127.9,128.95,raw,2117.0,66782.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000030.png,ROSN,1m,2025-06-02 11:59:00+00:00,2025-06-02 13:02:00+00:00,64,127.82,128.95,raw,2157.0,66782.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000031.png,ROSN,1m,2025-06-02 12:15:00+00:00,2025-06-02 13:18:00+00:00,64,127.82,128.91,raw,2157.0,103667.0,flat
data\cv\images\ROSN\1m\win64_step16\flat\img_0000032.png,ROSN,1m,2025-06-02 12:31:00+00:00,2025-06-02 13:34:00+00:00,64,127.82,128.91,raw,2157.0,103667.0,flat
