path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label
data\cv\images\SBER\1m\win64_step16\flat\img_0000000.png,SBER,1m,2025-06-02 03:59:00+00:00,2025-06-02 05:02:00+00:00,64,302.0,305.87,raw,1740.0,343930.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000001.png,SBER,1m,2025-06-02 04:15:00+00:00,2025-06-02 05:18:00+00:00,64,304.12,305.87,raw,1740.0,145160.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000002.png,SBER,1m,2025-06-02 04:31:00+00:00,2025-06-02 05:34:00+00:00,64,303.08,305.87,raw,1420.0,476540.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000003.png,SBER,1m,2025-06-02 04:47:00+00:00,2025-06-02 05:50:00+00:00,64,303.08,305.7,raw,1420.0,476540.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000004.png,SBER,1m,2025-06-02 05:03:00+00:00,2025-06-02 06:06:00+00:00,64,303.08,305.75,raw,1420.0,476540.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000005.png,SBER,1m,2025-06-02 05:19:00+00:00,2025-06-02 06:22:00+00:00,64,303.08,306.61,raw,1420.0,476540.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000006.png,SBER,1m,2025-06-02 05:35:00+00:00,2025-06-02 06:38:00+00:00,64,303.63,306.61,raw,1680.0,196170.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000007.png,SBER,1m,2025-06-02 05:51:00+00:00,2025-06-02 06:54:00+00:00,64,303.8,306.61,raw,1810.0,196170.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000008.png,SBER,1m,2025-06-02 06:07:00+00:00,2025-06-02 07:10:00+00:00,64,305.09,306.61,raw,1810.0,196170.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000009.png,SBER,1m,2025-06-02 06:23:00+00:00,2025-06-02 07:26:00+00:00,64,304.12,306.29,raw,1810.0,252220.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000010.png,SBER,1m,2025-06-02 06:39:00+00:00,2025-06-02 07:42:00+00:00,64,304.07,306.28,raw,1810.0,252220.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000011.png,SBER,1m,2025-06-02 06:55:00+00:00,2025-06-02 07:58:00+00:00,64,304.07,306.13,raw,6110.0,252220.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000012.png,SBER,1m,2025-06-02 07:11:00+00:00,2025-06-02 08:14:00+00:00,64,304.07,305.82,raw,8420.0,252220.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000013.png,SBER,1m,2025-06-02 07:27:00+00:00,2025-06-02 08:30:00+00:00,64,304.07,305.82,raw,2220.0,211590.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000014.png,SBER,1m,2025-06-02 07:43:00+00:00,2025-06-02 08:46:00+00:00,64,305.08,305.95,raw,2220.0,145190.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000015.png,SBER,1m,2025-06-02 07:59:00+00:00,2025-06-02 09:02:00+00:00,64,305.4,305.97,raw,2220.0,142990.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000016.png,SBER,1m,2025-06-02 08:15:00+00:00,2025-06-02 09:18:00+00:00,64,305.4,305.99,raw,2220.0,142990.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000017.png,SBER,1m,2025-06-02 08:31:00+00:00,2025-06-02 09:34:00+00:00,64,305.46,306.42,raw,6290.0,166000.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000018.png,SBER,1m,2025-06-02 08:47:00+00:00,2025-06-02 09:50:00+00:00,64,305.49,306.42,raw,4070.0,166000.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000019.png,SBER,1m,2025-06-02 09:03:00+00:00,2025-06-02 10:06:00+00:00,64,305.18,306.42,raw,4070.0,166000.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000020.png,SBER,1m,2025-06-02 09:19:00+00:00,2025-06-02 10:22:00+00:00,64,305.14,306.42,raw,4070.0,166000.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000021.png,SBER,1m,2025-06-02 09:35:00+00:00,2025-06-02 10:38:00+00:00,64,305.14,306.0,raw,4070.0,139070.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000022.png,SBER,1m,2025-06-02 09:51:00+00:00,2025-06-02 10:54:00+00:00,64,305.14,305.98,raw,3950.0,139070.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000023.png,SBER,1m,2025-06-02 10:07:00+00:00,2025-06-02 11:10:00+00:00,64,305.14,305.98,raw,1460.0,81170.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000024.png,SBER,1m,2025-06-02 10:23:00+00:00,2025-06-02 11:26:00+00:00,64,304.06,305.98,raw,1460.0,160510.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000025.png,SBER,1m,2025-06-02 10:39:00+00:00,2025-06-02 11:42:00+00:00,64,303.61,305.98,raw,1460.0,205840.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000026.png,SBER,1m,2025-06-02 10:55:00+00:00,2025-06-02 11:58:00+00:00,64,303.61,305.85,raw,1460.0,205840.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000027.png,SBER,1m,2025-06-02 11:11:00+00:00,2025-06-02 12:14:00+00:00,64,303.61,305.99,raw,1790.0,205840.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000028.png,SBER,1m,2025-06-02 11:27:00+00:00,2025-06-02 12:30:00+00:00,64,303.61,305.99,raw,1530.0,205840.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000029.png,SBER,1m,2025-06-02 11:43:00+00:00,2025-06-02 12:46:00+00:00,64,304.48,305.99,raw,1530.0,225530.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000030.png,SBER,1m,2025-06-02 11:59:00+00:00,2025-06-02 13:02:00+00:00,64,304.54,305.99,raw,1530.0,225530.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000031.png,SBER,1m,2025-06-02 12:15:00+00:00,2025-06-02 13:18:00+00:00,64,303.2,305.79,raw,1530.0,422800.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000032.png,SBER,1m,2025-06-02 12:31:00+00:00,2025-06-02 13:34:00+00:00,64,303.2,305.32,raw,1620.0,463120.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000033.png,SBER,1m,2025-06-02 12:47:00+00:00,2025-06-02 13:50:00+00:00,64,303.2,305.2,raw,2630.0,463120.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000034.png,SBER,1m,2025-06-02 13:03:00+00:00,2025-06-02 14:06:00+00:00,64,303.2,305.2,raw,1840.0,463120.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000035.png,SBER,1m,2025-06-02 13:19:00+00:00,2025-06-02 14:22:00+00:00,64,303.78,305.4,raw,1840.0,463120.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000036.png,SBER,1m,2025-06-02 13:35:00+00:00,2025-06-02 14:38:00+00:00,64,303.81,306.98,raw,1840.0,469480.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000037.png,SBER,1m,2025-06-02 13:51:00+00:00,2025-06-02 14:54:00+00:00,64,303.81,308.52,raw,1840.0,469480.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000038.png,SBER,1m,2025-06-02 14:07:00+00:00,2025-06-02 15:10:00+00:00,64,304.03,308.8,raw,1990.0,469480.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000039.png,SBER,1m,2025-06-02 14:23:00+00:00,2025-06-02 15:26:00+00:00,64,305.07,309.89,raw,3120.0,469480.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000040.png,SBER,1m,2025-06-02 14:39:00+00:00,2025-06-02 15:47:00+00:00,64,306.11,311.58,raw,1860.0,533780.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000041.png,SBER,1m,2025-06-02 14:55:00+00:00,2025-06-02 16:17:00+00:00,64,307.5,311.99,raw,1860.0,533780.0,flat
data\cv\images\SBER\1m\win64_step16\flat\img_0000042.png,SBER,1m,2025-06-02 15:11:00+00:00,2025-06-02 16:33:00+00:00,64,308.6,311.99,raw,1860.0,533780.0,flat
